Domain,MasterSkills
Cloud Engineer,"gcp,networking,aws,azure,kubernetes,docker,monitoring,cloud deployment,linux,cloud computing"
Machine Learning Engineer,"data preprocessing,deep learning,model deployment,machine learning,python,pytorch,feature engineering,docker,api development,tensorflow"
Data Engineer,"data warehousing,hadoop,python,big data,sql,airflow,data modeling,spark,cloud storage,etl pipelines"
Frontend Developer,"git,redux,javascript,typescript,css,responsive design,web performance,api integration,react,html"
Frontend Developer,"git,react,redux,html,responsive design,css,web performance,typescript,api integration,javascript"
Data Scientist,"scikit-learn,tensorflow,feature engineering,statistics,python,numpy,machine learning,model evaluation,deep learning,data visualization"
UI UX Designer,"usability testing,figma,wireframing,prototyping,user research,interaction design,visual design,design systems"
Data Engineer,"big data,hadoop,data warehousing,sql,spark,cloud storage,airflow,python,etl pipelines,data modeling"
DevOps Engineer,"kubernetes,docker,ci cd,terraform,linux,aws,monitoring,cloud deployment,github actions,bash scripting"
Backend Developer,"rest api,server management,api development,git,java,database design,authentication,sql,python,node.js"
Backend Developer,"rest api,sql,api development,node.js,server management,authentication,python,java,database design,git"
UI UX Designer,"wireframing,figma,interaction design,usability testing,design systems,visual design,prototyping,user research"
DevOps Engineer,"cloud deployment,bash scripting,monitoring,kubernetes,ci cd,docker,aws,terraform,github actions,linux"
Data Scientist,"scikit-learn,deep learning,python,statistics,tensorflow,machine learning,model evaluation,pandas,data visualization,numpy"
Backend Developer,"python,sql,node.js,rest api,database design,git,java,authentication,api development,server management"
Mobile App Developer,"flutter,debugging,dart,firebase,java,rest api,kotlin,deployment,mobile ui design,android studio"
Data Scientist,"data visualization,model evaluation,pandas,tensorflow,deep learning,python,statistics,machine learning,numpy,scikit-learn"
Cloud Engineer,"azure,gcp,cloud deployment,monitoring,cloud computing,docker,networking,aws,linux,kubernetes"
Data Analyst,"excel,data visualization,reporting,python,business analysis,sql,statistics,pandas,data cleaning,power bi"
Data Engineer,"python,etl pipelines,hadoop,big data,data warehousing,sql,spark,data modeling,airflow,cloud storage"
Backend Developer,"git,api development,python,authentication,node.js,java,rest api,server management,sql,database design"
DevOps Engineer,"github actions,ci cd,monitoring,aws,terraform,kubernetes,linux,docker,bash scripting,cloud deployment"
Frontend Developer,"css,git,react,web performance,api integration,typescript,javascript,html,redux,responsive design"
Data Engineer,"hadoop,python,data modeling,big data,airflow,etl pipelines,cloud storage,spark,sql,data warehousing"
Business Analyst,"reporting,dashboarding,power bi,sql,requirements gathering,tableau,data analysis,excel,business intelligence"
Machine Learning Engineer,"model deployment,pytorch,deep learning,docker,api development,data preprocessing,tensorflow,machine learning,python,feature engineering"
Mobile App Developer,"firebase,debugging,java,dart,rest api,deployment,android studio,flutter,kotlin,mobile ui design"
Data Analyst,"statistics,data visualization,pandas,tableau,reporting,dashboarding,excel,python,sql,business analysis"
Mobile App Developer,"firebase,rest api,debugging,dart,deployment,flutter,java,kotlin,mobile ui design,android studio"
Data Engineer,"python,hadoop,spark,data modeling,sql,data warehousing,airflow,big data,etl pipelines,cloud storage"
Cloud Engineer,"monitoring,kubernetes,gcp,docker,cloud deployment,networking,linux,azure,aws,cloud computing"
Frontend Developer,"html,api integration,css,typescript,javascript,responsive design,react,web performance,redux,git"
Data Engineer,"airflow,big data,sql,etl pipelines,hadoop,data warehousing,spark,cloud storage,python,data modeling"
